lon,lat,R,Time,L0,lonC,X,Y,Z,T
-44.221,-36.79,1.25763,01:00:45,314.88791,270.66691,0.0117227962557597,-1.0070870369678138,-0.7531742779193508,1.0
-44.0444,-37.6268,1.24546,01:00:45,314.88791,270.84351,0.014521422557648158,-0.9863026097456137,-0.7603728703050194,1.0
-44.0796,-37.4215,1.25238,01:00:45,314.88791,270.80831,0.014031355199339533,-0.9945244994433196,-0.7610386359957587,1.0
-43.1329,-36.3484,1.24078,01:00:45,314.88791,271.75500999999997,0.030606276802288078,-0.9988900446501735,-0.7354025720101041,1.0
-43.3947,-35.08,1.21242,01:00:45,314.88791,271.49321,0.025854817445314284,-0.9918474446366701,-0.6968015724598914,1.0
-41.3222,-34.4289,1.2431,01:00:45,314.88791,273.56570999999997,0.06376945402577118,-1.023359278730802,-0.7028277551212871,1.0
-43.1028,-35.9623,1.23095,01:10:45,314.79645,271.69365,0.029447153290424553,-0.9959000740709798,-0.7228788350259727,1.1666666666666667
-42.8857,-36.3998,1.2563,01:10:45,314.79645,271.91075,0.03371582500295941,-1.010628435352321,-0.7455086175234257,1.1666666666666667
-44.1193,-36.8533,1.24878,01:10:45,314.79645,270.67715,0.011809251975831252,-0.9991712240903257,-0.7489785677291517,1.1666666666666667
-43.136,-37.4826,1.29031,01:10:45,314.79645,271.66044999999997,0.02966909272116565,-1.0234803049383434,-0.7851800471486895,1.1666666666666667
-44.2028,-37.1622,1.25641,01:10:45,314.79645,270.59364999999997,0.010374110681729077,-1.0012153425262929,-0.758963967403935,1.1666666666666667
-43.8366,-38.2178,1.26927,01:20:45,314.70499,270.86839000000003,0.015113561913732575,-0.9971061436574618,-0.7852370670229628,1.3333333333333333
-43.2747,-37.1185,1.28824,01:20:45,314.70499,271.43029,0.025640320424020365,-1.0269085100707125,-0.7774083762816704,1.3333333333333333
-42.5106,-36.1184,1.27655,01:20:45,314.70499,272.19439,0.03948453434919001,-1.0304416828208114,-0.7524698082665127,1.3333333333333333
-42.5643,-36.3522,1.24962,01:20:45,314.70499,272.14069,0.037593567547917345,-1.0057273175463703,-0.7407087354824446,1.3333333333333333
-43.8756,-36.9189,1.24202,01:20:45,314.70499,270.82939,0.014373440960726772,-0.9928742585077946,-0.7460615198410553,1.3333333333333333
-43.2398,-37.402,1.28499,01:30:45,314.61354,271.37374,0.024472350624356404,-1.0204942069170544,-0.7805075129706639,1.5
-44.09,-38.2887,1.25801,01:30:45,314.61354,270.52354,0.009022332637296494,-0.9873690534687004,-0.7794934957176389,1.5
-43.3784,-36.9739,1.26768,01:30:45,314.61354,271.23514,0.021830675788641746,-1.0125263730256648,-0.7624476033945569,1.5
-42.2117,-36.1796,1.26886,01:30:45,314.61354,272.40184,0.042921337663865265,-1.0232866537014471,-0.7490312962284283,1.5
-41.9655,-35.8783,1.25414,01:30:45,314.61354,272.64804,0.04694827831674136,-1.0150989723859905,-0.7350082142561405,1.5
-44.2874,-39.1378,1.28431,01:30:45,314.61354,270.32614,0.005670268721132437,-0.9961334320948194,-0.8106406168060085,1.5
-42.7057,-36.4989,1.29148,01:30:45,314.61354,271.90784,0.03456301636421673,-1.0376043121903347,-0.7681818011537564,1.5
-42.4427,-36.2541,1.29817,01:40:45,314.52208,272.07938,0.037983869979377034,-1.046157927987174,-0.7676953590005432,1.6666666666666665
-42.3812,-35.0021,1.28902,01:40:45,314.52208,272.14088000000004,0.03944406434180897,-1.055139261303929,-0.7393901983683571,1.6666666666666665
-41.4463,-34.3353,1.28256,01:40:45,314.52208,273.07578,0.05682648535705204,-1.05754947672401,-0.7234086040701602,1.6666666666666665
-43.6455,-37.0224,1.2878,01:40:45,314.52208,270.87658,0.015729721116769606,-1.0280594068138744,-0.7754194167900964,1.6666666666666665
-41.5522,-34.6312,1.28075,01:50:45,314.43062,272.87842,0.052920233141628505,-1.0525061398669862,-0.7278398429369828,1.8333333333333335
-42.1849,-35.615,1.28528,01:50:45,314.43062,272.24572,0.04094326431210909,-1.0440637417769738,-0.7484645820706102,1.8333333333333335
-42.7134,-36.6468,1.29618,01:50:45,314.43062,271.71722,0.03116425444867427,-1.0394973128198526,-0.7736644739710906,1.8333333333333335
-42.9871,-38.1753,1.30496,01:50:45,314.43062,271.44352,0.025842954247926285,-1.0255340467812768,-0.8065560502582304,1.8333333333333335
-41.9384,-35.3505,1.3029,02:00:45,314.33916,272.40076,0.04451457287217507,-1.0617489191416005,-0.7538276298356614,2.0
-42.5857,-36.7709,1.30337,02:00:45,314.33916,271.75346,0.03194662057962547,-1.0435567680115714,-0.7802192270578728,2.0
-43.4173,-38.0076,1.29354,02:00:45,314.33916,270.92186,0.016397989128424207,-1.0190858645404592,-0.7965179459662969,2.0
-41.5145,-34.449,1.29032,02:00:45,314.33916,272.82466,0.05243535185276133,-1.0627438376080798,-0.7298984668446211,2.0
-41.7399,-35.0315,1.31189,02:30:45,314.06479,272.32489000000004,0.043576791546270414,-1.0733392927104006,-0.7530598900900711,2.5
-41.3275,-34.7864,1.30047,02:30:45,314.06479,272.73729000000003,0.05100667385953659,-1.066837406418754,-0.7419423753820061,2.5
-42.0215,-36.6581,1.31585,02:30:45,314.06479,272.04329,0.03763666304797857,-1.0549201040979468,-0.785613313319339,2.5
-40.7177,-33.6174,1.27784,02:30:45,314.06479,273.34709000000004,0.06212844373213901,-1.0623100600284707,-0.7074690512253731,2.5
-42.3548,-37.5749,1.3164,02:30:45,314.06479,271.70999,0.0311332719910704,-1.0428572281861368,-0.8027381148264098,2.5
-41.8158,-35.9551,1.33415,02:55:45,313.83614,272.02034,0.038073359320958976,-1.079292894113041,-0.7833476179367068,2.9166666666666665
-42.9169,-37.1654,1.31587,02:55:45,313.83614,270.91924,0.01682293134618616,-1.0484751118658204,-0.7949407435016003,2.9166666666666665
