T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
14.1,278,-35,15,3.9,9,0.09,-4
17.84,278,-35,15,6.1,9,0.09,-1
17.9,278,-39,17,6.5,10,0.09,4
