lon,lat,R,Time,L0,lonC,X,Y,Z,T
-43.4358,-32.0774,1.10441,20:05:05,308.65346,265.21766,-0.078018408,-0.932543445,-0.586512829,20.08333333
-44.9055,-32.4378,1.10198,20:05:05,308.65346,263.74796,-0.101283763,-0.924511266,-0.591084121,20.08333333
-46.5483,-32.9095,1.10786,20:05:05,308.65346,262.10516,-0.127751658,-0.921266011,-0.601915468,20.08333333
-43.1065,-31.9746,1.11205,20:20:05,308.51612,265.40962,-0.075496418,-0.940307135,-0.588878583,20.33333333
-41.406,-31.4765,1.10761,20:20:05,308.51612,267.11012,-0.047624977,-0.943428751,-0.578337242,20.33333333
-44.2344,-32.3102,1.12187,20:30:05,308.42456,264.19016,-0.095980266,-0.943296744,-0.599642676,20.5
-42.6319,-31.9095,1.12011,20:30:05,308.42456,265.79266,-0.069759547,-0.948281081,-0.592066727,20.5
-41.2043,-31.5554,1.11729,20:30:05,308.42456,267.22026,-0.046172698,-0.950961149,-0.584703274,20.5
-42.9726,-31.9666,1.12654,20:40:05,308.33299,265.36039,-0.077305307,-0.952576274,-0.596418229,20.66666667
-41.1943,-31.4645,1.13076,20:40:05,308.33299,267.13869,-0.048146282,-0.963294829,-0.590222996,20.66666667
-39.7008,-31.1053,1.12843,20:40:05,308.33299,268.63219,-0.023063304,-0.965908239,-0.582961081,20.66666667
-43.3429,-32.1635,1.12021,20:50:05,308.24143,264.89853,-0.084322173,-0.94453773,-0.596329348,20.83333333
-41.6909,-31.6141,1.13034,20:50:05,308.24143,266.55053,-0.057917667,-0.960851256,-0.592519133,20.83333333
-40.0867,-31.0076,1.1284,20:50:05,308.24143,268.15473,-0.0311427,-0.96664895,-0.581297257,20.83333333
-43.5147,-32.3226,1.13038,21:05:05,308.10409,264.58939,-0.090071068,-0.950972742,-0.60439804,21.08333333
-42.6548,-31.837,1.12558,21:05:05,308.10409,265.44929,-0.075869334,-0.95322445,-0.59374854,21.08333333
-43.0436,-31.2936,1.14139,21:05:05,308.10409,265.06049,-0.08398038,-0.971714746,-0.592864977,21.08333333
-43.3042,-32.1523,1.13587,21:15:05,308.01253,264.70833,-0.088690715,-0.957570485,-0.604477775,21.25
-42.2501,-31.7843,1.14197,21:15:05,308.01253,265.76243,-0.071728343,-0.968063109,-0.60150174,21.25
-41.0747,-31.3385,1.14637,21:15:05,308.01253,266.93783,-0.052304407,-0.977727524,-0.596219184,21.25
-42.1451,-31.6988,1.14106,21:20:05,307.96675,265.82165,-0.070736639,-0.96825867,-0.599574349,21.33333333
-41.8111,-31.7116,1.1355,21:20:05,307.96675,266.15565,-0.064764997,-0.963801624,-0.596868642,21.33333333
-43.2794,-32.2161,1.14358,21:20:05,307.96675,264.68735,-0.089582932,-0.963362118,-0.609658547,21.33333333
-40.7436,-31.3597,1.15758,21:25:05,307.92097,267.17737,-0.048676835,-0.987278041,-0.602415216,21.41666667
-42.1407,-31.8174,1.14697,21:25:05,307.92097,265.78027,-0.07171396,-0.971975832,-0.604698496,21.41666667
-42.7971,-32.1577,1.1467,21:35:05,307.82941,265.03231,-0.084063732,-0.967134007,-0.61033269,21.58333333
-41.2916,-31.5542,1.1606,21:35:05,307.82941,266.53781,-0.059725565,-0.987195029,-0.607347669,21.58333333
-40.5423,-31.0066,1.1637,21:35:05,307.82941,267.28711,-0.047208895,-0.996298688,-0.599464706,21.58333333
