lon,lat,R,Time,L0,lonC,X,Y,Z,T
88.3816,-51.3121,1.12458,0:30:05,155.49097,243.87257,-0.30955743,-0.631120379,-0.877804899,0.5
86.7906,-52.6751,1.10767,0:30:05,155.49097,242.28157,-0.31238756,-0.594545871,-0.880830317,0.5
95.4234,-50.8385,1.11672,0:30:05,155.49097,250.91437000000002,-0.230592843,-0.66645293,-0.865870077,0.5
97.7628,-50.3971,1.13318,1:15:05,155.07938,252.84217999999998,-0.213099696,-0.690212239,-0.873093636,1.25
94.3055,-51.6457,1.1286,1:15:05,155.07938,249.38487999999998,-0.246575323,-0.655477749,-0.885035305,1.25
94.6376,-51.6793,1.12002,1:15:05,155.07938,249.71697999999998,-0.240747669,-0.651418754,-0.878714383,1.25
98.5768,-50.0062,1.14377,1:45:05,154.80499,253.38179000000002,-0.210235225,-0.704402245,-0.876258204,1.75
95.4116,-51.3897,1.13811,1:45:05,154.80499,250.21659,-0.240379362,-0.668286438,-0.889328607,1.75
92.7017,-51.9178,1.13341,1:45:05,154.80499,247.50669,-0.267449965,-0.645894632,-0.892137248,1.75
99.3264,-50.0036,1.15938,3:00:05,154.11901,253.44541,-0.212323009,-0.714290641,-0.888183429,3
97.342,-50.828,1.15045,3:00:05,154.11901,251.46101,-0.231048592,-0.688972981,-0.891890117,3
99.6953,-48.9106,1.1583,3:00:05,154.11901,253.81431,-0.212206713,-0.731101801,-0.872993332,3
103.484,-47.9587,1.17538,3:45:05,153.70742,257.19142,-0.174498452,-0.767525781,-0.872910425,3.75
102.37,-49.0451,1.16845,3:45:05,153.70742,256.07742,-0.184278301,-0.743377638,-0.882443538,3.75
95.6603,-51.5322,1.15622,3:45:05,153.70742,249.36772000000002,-0.253443217,-0.673123033,-0.905271565,3.75
97.9896,-49.666,1.18218,3:45:05,153.70742,251.69702,-0.240291257,-0.726446896,-0.901157351,3.75
93.3643,-50.8381,1.19884,3:45:05,153.70742,247.07172000000003,-0.294943734,-0.697269295,-0.929538095,3.75
91.7038,-50.7543,1.20165,4:00:05,153.57023,245.27403,-0.317984144,-0.690522499,-0.930605977,4
99.3986,-48.7134,1.18117,4:00:05,153.57023,252.96883000000003,-0.228270176,-0.745187928,-0.887552955,4
98.825,-49.4678,1.1781,4:00:05,153.57023,252.39523000000003,-0.23156061,-0.729760734,-0.895404135,4
90.3687,-50.142,1.21234,5:00:05,153.02145,243.39015,-0.34801618,-0.694673938,-0.930634801,5
92.7162,-49.1437,1.23275,5:00:05,153.02145,245.73764999999997,-0.331370714,-0.735192493,-0.9323937,5
92.938,-48.9569,1.22463,5:00:05,153.02145,245.95945,-0.327586756,-0.734372706,-0.923635362,5
92.1536,-50.0992,1.22394,5:00:05,153.02145,245.17505,-0.329625916,-0.712560772,-0.938953154,5
