T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
11.25,91.5,15,-13,1.1,2.6,0.01,0
11.42,92,15,-55,1.5,7,0.1,-20
11.5,92,15,-55,2.2,10,0.1,-15
11.58,92,13,-58,2.6,11,0.16,-15
13.42,92,7,-58,11.6,20,0.2,3
