T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
8.6,110,29,-55,2.15,15,0.06,28
9,110,29,-55,2.8,15,0.06,31
9.25,110,29,-55,3.2,15,0.06,32
9.6,110,29,-55,4,16,0.07,32
10.8,110,29,-55,6.7,18,0.1,33
11.2,110,29,-55,7.5,18,0.1,33
11.6,110,29,-55,8.8,18,0.1,32
