lon,lat,R,Time,L0,lonC,X,Y,Z,T
10.7161,-49.5886,1.1356,12:18:55,197.77748,208.49358,-0.647004313,-0.351200816,-0.864656444,12.3
6.2555,-50.2866,1.11721,12:18:55,197.77748,204.03298,-0.651956967,-0.290719721,-0.859413952,12.3
12.1679,-48.9297,1.13119,12:18:55,197.77748,209.94538,-0.643961799,-0.370973451,-0.852808722,12.3
8.62639,-50.0293,1.12792,12:18:55,197.77748,206.40386999999998,-0.648985052,-0.322213616,-0.864407494,12.3
10.062,-47.88,1.19615,14:18:55,196.67641,206.73841000000002,-0.716456948,-0.360942302,-0.887234421,14.3
11.2681,-48.6585,1.19224,14:18:55,196.67641,207.94451,-0.695704525,-0.369048837,-0.895116969,14.3
8.05079,-49.2495,1.15795,14:18:55,196.67641,204.7272,-0.68656479,-0.316179492,-0.877215777,14.3
9.35381,-47.8428,1.17693,14:18:55,196.67641,206.03022,-0.7097896,-0.346651065,-0.872465465,14.3
15.4899,-46.2465,1.30868,16:18:55,195.57533,211.06523,-0.775228421,-0.467006274,-0.945287987,16.3
19.391,-44.0515,1.36317,18:18:55,194.47425,213.86525,-0.813519942,-0.545946811,-0.947818459,18.3
-0.47944,-53.3773,1.03295,11:02:10,198.4817,198.00225999999998,-0.586032548,-0.190439074,-0.829026244,11.033333333333333
0.24589,-53.0589,1.04728,11:02:10,198.4817,198.72759,-0.59608514,-0.202083663,-0.837042471,11.033333333333333
1.69903,-52.877,1.06073,11:02:10,198.4817,200.18072999999998,-0.600879124,-0.220851051,-0.845764284,11.033333333333333
3.03161,-52.4251,1.07442,11:02:10,198.4817,201.51331,-0.60953443,-0.24026558,-0.85153894,11.033333333333333
4.45674,-51.6818,1.09095,11:02:10,198.4817,202.93843999999999,-0.622931371,-0.263629154,-0.85593696,11.033333333333333
7.40066,-50.9586,1.10866,11:02:10,198.4817,205.88235999999998,-0.628277315,-0.304836069,-0.861086281,11.033333333333333
7.74131,-50.5832,1.11899,11:02:10,198.4817,206.22301,-0.637385555,-0.31395059,-0.864472846,11.033333333333333
8.57811,-50.2067,1.11875,11:02:10,198.4817,207.05981,-0.637640783,-0.325733081,-0.859600927,11.033333333333333
9.4942,-49.7753,1.11178,11:02:10,198.4817,207.9759,-0.634074217,-0.336801209,-0.848863712,11.033333333333333
11.6528,-49.8051,1.10812,11:02:10,198.4817,210.1345,-0.618513599,-0.359037545,-0.846441317,11.033333333333333
13.4894,-50.0054,1.08913,11:02:10,198.4817,211.97109999999998,-0.593821233,-0.370644344,-0.834387962,11.033333333333333
13.6882,-49.747,1.06562,11:02:10,198.4817,212.16989999999998,-0.582851862,-0.366613923,-0.813279732,11.033333333333333
16.488,-50.1733,1.02926,11:02:10,198.4817,214.9697,-0.540191245,-0.377820405,-0.790456393,11.033333333333333
7.07384,-49.1492,1.13865,12:17:10,197.79353,204.86737,-0.675727902,-0.313194827,-0.861292415,12.283333333333333
5.14244,-50.0658,1.12958,12:17:10,197.79353,202.93597,-0.6677612,-0.282567526,-0.866141761,12.283333333333333
10.2471,-49.4752,1.12922,12:17:10,197.79353,208.04063,-0.647610698,-0.344930011,-0.858348111,12.283333333333333
9.63492,-49.1463,1.14558,12:22:10,197.74766,207.38258,-0.665396398,-0.344652111,-0.866496447,12.366666666666667
7.49736,-48.8407,1.17405,14:02:10,196.8301,204.32745999999997,-0.704094906,-0.318317373,-0.883921838,14.033333333333333
7.79092,-48.3365,1.18377,14:07:10,196.78422,204.57514,-0.715634986,-0.32726776,-0.884349362,14.116666666666667
7.56566,-48.6147,1.18437,14:07:10,196.78422,204.34988,-0.713357071,-0.322840997,-0.888609968,14.116666666666667
9.55356,-48.164,1.19202,14:07:10,196.78422,206.33778,-0.712544391,-0.35274617,-0.888122914,14.116666666666667
6.68391,-48.1483,1.19403,14:17:10,196.69246,203.37637,-0.731271237,-0.316091318,-0.889402213,14.283333333333333
6.39523,-48.275,1.19559,14:22:10,196.64659,203.04182,-0.732248207,-0.311451884,-0.892326026,14.366666666666667
6.19539,-48.1225,1.20418,14:32:10,196.55483,202.75022,-0.741299521,-0.310856034,-0.896600814,14.533333333333333
6.48294,-48.0216,1.2068,14:37:10,196.50895,202.99189,-0.743047306,-0.31528075,-0.897131535,14.616666666666667
6.97451,-47.4331,1.22401,14:47:10,196.4172,203.39171000000002,-0.759932167,-0.328721479,-0.901468675,14.783333333333333
7.7365,-47.0796,1.2301,14:52:10,196.37132,204.10782,-0.764612155,-0.342152793,-0.900802825,14.866666666666667
6.31807,-47.436,1.22428,14:52:10,196.37132,202.68939,-0.764030776,-0.31943477,-0.901709442,14.866666666666667
8.03961,-47.2642,1.22496,15:02:10,196.27956,204.31917,-0.757517551,-0.342337455,-0.899721751,15.033333333333333
6.35797,-47.2799,1.22969,15:02:10,196.27956,202.63753,-0.769971635,-0.321100157,-0.903424522,15.033333333333333
3.45251,-47.1534,1.23005,15:07:10,196.23368,199.68618999999998,-0.787589735,-0.281783801,-0.901844389,15.116666666666667
6.48165,-46.9285,1.2471,15:07:10,196.23368,202.71533,-0.785598681,-0.328870049,-0.911009118,15.116666666666667
8.05215,-46.7152,1.24899,15:17:10,196.14193,204.19408,-0.781120377,-0.350952412,-0.909208107,15.283333333333333
3.27086,-46.2082,1.26188,15:22:10,196.09605,199.36691,-0.823856635,-0.289591021,-0.910899786,15.366666666666667
6.46256,-46.3741,1.2621,15:22:10,196.09605,202.55861,-0.804156269,-0.334056579,-0.913583771,15.366666666666667
5.79041,-46.3505,1.26153,15:27:10,196.05017,201.84058000000002,-0.808263431,-0.323946532,-0.912812582,15.45
6.97884,-46.4833,1.26139,15:27:10,196.05017,203.02901,-0.799332771,-0.339774373,-0.91472686,15.45
7.06549,-45.6907,1.2791,15:37:10,195.95842,203.02391,-0.822317567,-0.34945816,-0.91529756,15.616666666666667
4.91171,-46.264,1.28493,15:47:10,195.86666,200.77837,-0.83054248,-0.315134758,-0.928404211,15.783333333333333
5.31598,-45.1152,1.2944,15:47:10,195.86666,201.18264,-0.851718999,-0.330063177,-0.917117444,15.783333333333333
4.98424,-45.4274,1.29104,15:52:10,195.82078,200.80502,-0.846987407,-0.321825254,-0.919687512,15.866666666666667
6.31263,-45.3668,1.3028,16:02:10,195.72902,202.04165,-0.848404095,-0.343495119,-0.927097317,16.033333333333335
4.61073,-45.1525,1.31693,16:07:10,195.68315,200.29388,-0.871078411,-0.322115918,-0.933685366,16.116666666666667
1.56515,-43.9666,1.42492,16:32:10,195.45375,197.0189,-0.98066664,-0.300173643,-0.989234923,16.533333333333335
