T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
16.43,204,-59,-22,1.45,10,0.02,51
16.78,204,-59,-25,1.48,10,0.02,51
17.2,204,-59,-30,1.52,10,0.02,51
17.78,204,-59,-30,1.56,10,0.02,51
18.9,204,-59,-30,1.77,10,0.02,51
19.43,204,-59,-30,1.87,10,0.02,51
19.76,204,-59,-30,1.97,10,0.02,51
19.9,204,-59,-30,2.1,10,0.02,51
20,204,-59,-30,2.15,10,0.02,51
