T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
20.3,204,-59,-30,2.8,10,0.06,56
21,204,-59,-30,3,10,0.09,56
21.5,204,-59,-30,3.7,10,0.12,57
22,204,-59,-30,3.9,10,0.15,59
