lon,lat,R,Time,L0,lonC,X,Y,Z,T
-33.7589,-37.1021,1.17564,10:35:05,202.67811,168.91921000000002,-0.920165198,0.1802088697120389,-0.709189806,10.583333333333334
-35.3244,-36.616,1.1576,10:35:05,202.67811,167.35371,-0.906607776,0.20342004337301847,-0.690449409,10.583333333333334
-30.6612,-36.1316,1.17148,10:35:05,202.67811,172.01691,-0.936993994,0.13140392764392433,-0.690753685,10.583333333333334
-32.0501,-36.4791,1.20485,10:35:05,202.67811,170.62801000000002,-0.955856803,0.15776101315791274,-0.716318894,10.583333333333334
-31.0677,-35.9992,1.22251,10:55:05,202.49502,171.42732,-0.977991404,0.14743033231243102,-0.718559539,10.916666666666666
-35.6665,-34.6488,1.26645,10:55:05,202.49502,166.82852000000003,-1.01443969,0.23740200882886955,-0.720033336,10.916666666666666
-33.5574,-37.9539,1.26417,10:55:05,202.49502,168.93762,-0.97828367,0.19126465270681287,-0.777498993,10.916666666666666
-31.9752,-37.3884,1.23493,11:05:05,202.40347,170.42827,-0.96753824,0.1631558402451886,-0.749868009,11.083333333333334
-36.6424,-35.8664,1.28019,11:05:05,202.40347,165.76107,-1.005575257,0.2551767751026253,-0.750059766,11.083333333333334
-34.2619,-37.7952,1.31601,11:05:05,202.40347,168.14157,-1.017725855,0.21369740882483998,-0.806504694,11.083333333333334
-36.4279,-36.8307,1.31249,11:15:05,202.31192,165.88402,-1.018808716,0.2562091597583106,-0.786775487,11.25
-31.9746,-35.6909,1.34314,11:15:05,202.31192,170.33731999999998,-1.075390225,0.18309896854908755,-0.783604296,11.25
-35.6036,-38.4153,1.37133,11:15:05,202.31192,166.70832,-1.045692106,0.24703081309246458,-0.852085539,11.25
-36.8241,-38.6893,1.36897,11:25:05,202.22037,165.39627000000002,-1.034023881,0.26941493076800915,-0.855738903,11.416666666666666
-33.5687,-37.1912,1.40837,11:25:05,202.22037,168.65167,-1.100004596,0.22076769201927054,-0.851326948,11.416666666666666
-37.1517,-39.1803,1.44559,11:25:05,202.22037,165.06867,-1.082730537,0.2887263786602939,-0.91327001,11.416666666666666
-37.2712,-39.6668,1.40193,11:35:05,202.12882,164.85762,-1.041694152,0.28189742459459743,-0.894882596,11.583333333333334
-39.0945,-37.3525,1.45566,11:35:05,202.12882,163.03431999999998,-1.106771527,0.3376492260824719,-0.883173721,11.583333333333334
-34.2076,-38.0536,1.45265,11:35:05,202.12882,167.92122,-1.118542379,0.23936144142227359,-0.895411117,11.583333333333334
-36.6866,-37.5374,1.55202,11:35:05,202.12882,165.44222,-1.191171747,0.30933987566934457,-0.945613447,11.583333333333334
-37.3189,-37.4106,1.62606,11:55:05,201.94573,164.62682999999998,-1.245369805,0.3424046592567654,-0.987868524,11.916666666666666
-34.9518,-38.2725,1.60536,11:55:05,201.94573,166.99393,-1.227993883,0.2836417595257247,-0.994363668,11.916666666666666
-41.3201,-36.5672,1.5868,11:55:05,201.94573,160.62563,-1.202281404,0.4227857026050706,-0.945360203,11.916666666666666
-38.8651,-37.9771,1.6207,12:05:05,201.85418,162.98908,-1.221634633,0.37374579788025997,-0.99729203,12.083333333333334
-37.6615,-39.2561,1.60279,12:05:05,201.85418,164.19268000000002,-1.194147108,0.33807435519433177,-1.014225911,12.083333333333334
-32.9308,-37.88,1.61076,12:05:05,201.85418,168.92338,-1.247686214,0.24425762005612098,-0.989022297,12.083333333333334
-33.7022,-35.4603,1.88552,12:05:05,201.85418,168.15198,-1.503070407,0.31532271209553797,-1.093863158,12.083333333333334
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
