lon,lat,R,Time,L0,lonC,X,Y,Z,T
45.1958,-35.388,1.08251,01:00:05,221.07387,266.26967,-0.05741693484296655,-0.8806455361152966,-0.6268928420499316,1.0
48.062,-34.5094,1.0877,01:00:05,221.07387,269.13587,-0.013517421358496899,-0.8961990323972792,-0.6162271201837818,1.0
49.6408,-34.0483,1.08525,01:00:05,221.07387,270.71467,0.011215754604973198,-0.8991311732863476,-0.6076223354793313,1.0
50.3813,-33.5112,1.08693,01:00:05,221.07387,271.45517,0.02301422599395074,-0.9059659616870764,-0.6000940314369991,1.0
40.5593,-34.4581,1.01452,01:00:05,221.07387,261.63317,-0.1217211756332319,-0.8276092791070597,-0.5740188733294029,1.0
52.9085,-32.6957,1.0703,01:00:05,221.07387,273.98237,0.06255404120440283,-0.8985375826630275,-0.5781516189297415,1.0
47.8923,-34.8287,1.09889,02:00:05,220.52504,268.41733999999997,-0.024913502486935867,-0.9016942850406335,-0.6276033507071916,2.0
48.8488,-34.3021,1.10352,02:00:05,220.52504,269.37384,-0.009962196848204187,-0.911538760144065,-0.6218956775770182,2.0
47.6581,-35.2271,1.09314,02:00:05,220.52504,268.18314,-0.028311046869594136,-0.8925067249198726,-0.6305436465447499,2.0
48.7685,-35.2265,1.09342,02:05:05,220.4793,269.2478,-0.01172580163379375,-0.8931139943298956,-0.630695802354942,2.0833333333333335
46.3545,-35.2405,1.09086,02:05:05,220.4793,266.8338,-0.049209168568319465,-0.8895859731337427,-0.6294368862185522,2.0833333333333335
49.8327,-34.1391,1.10576,02:05:05,220.4793,270.312,0.004983699702497229,-0.9151991567859066,-0.6205568819662234,2.0833333333333335
47.4725,-35.1889,1.09992,02:05:05,220.4793,267.9518,-0.03212748574757832,-0.898342526042331,-0.6338552965491596,2.0833333333333335
48.6597,-34.6557,1.10447,02:05:05,220.4793,269.139,-0.013652064441371152,-0.9084167180039382,-0.628049893310589,2.0833333333333335
49.5597,-35.1254,1.09487,02:10:05,220.43356,269.99326,-0.00010534094952894331,-0.8954883961533431,-0.6299530444072776,2.1666666666666665
48.1374,-34.892,1.10357,02:10:05,220.43356,268.57096,-0.022574242651440157,-0.9049016255258223,-0.6312766403007786,2.1666666666666665
48.8656,-34.7571,1.11029,02:15:05,220.38783,269.25343,-0.011885568045294564,-0.9121105123353543,-0.6329747472526673,2.25
48.4277,-35.1625,1.10328,02:15:05,220.38783,268.81553,-0.018644712514983813,-0.9017629422290281,-0.6353760533083382,2.25
48.2509,-34.9002,1.12177,02:25:05,220.29635,268.54724999999996,-0.023324844820980392,-0.9197238097121367,-0.641819287932881,2.4166666666666665
48.2213,-35.1575,1.11577,02:25:05,220.29635,268.51765,-0.02359828802875385,-0.9119173070796208,-0.6424894075008275,2.4166666666666665
47.3378,-35.2367,1.11416,02:25:05,220.29635,267.63415,-0.037565694357982654,-0.9092429077037512,-0.6428208607363568,2.4166666666666665
48.9303,-34.5293,1.12489,02:25:05,220.29635,269.22665,-0.01250809928159607,-0.9266409477760851,-0.6376187053851231,2.4166666666666665
48.3595,-34.565,1.12869,02:30:05,220.25062,268.61012,-0.022544543313360928,-0.9291836739360027,-0.6403519030639203,2.5
49.9761,-34.9844,1.12054,02:30:05,220.25062,270.22672,0.00363279359736379,-0.9180604031542494,-0.642465400290892,2.5
48.0845,-35.0031,1.12707,02:30:05,220.25062,268.33512,-0.02682243129716957,-0.9228169906434042,-0.6465107453547544,2.5
52.414,-35.8891,1.10548,02:35:05,220.20488,272.61888,0.04092227432704841,-0.8946727328481808,-0.6480525433650188,2.5833333333333335
48.4779,-35.0613,1.13502,02:35:05,220.20488,268.68278,-0.02135697509100182,-0.9288113954305103,-0.6520150855105965,2.5833333333333335
49.8808,-34.6109,1.14312,02:35:05,220.20488,270.08568,0.0014069001293178385,-0.9408190886977049,-0.6492925360529306,2.5833333333333335
47.4231,-35.1175,1.13641,02:35:05,220.20488,267.62798,-0.03847212931952205,-0.9287574162444844,-0.6537256650434428,2.5833333333333335
49.9084,-35.3425,1.14434,02:40:05,220.15915,270.06755,0.0011005070018032864,-0.933447480582886,-0.6619581750215051,2.6666666666666665
49.7957,-34.8035,1.15615,02:40:05,220.15915,269.95485,-0.0007480883646836939,-0.9493310548647398,-0.6598884838616287,2.6666666666666665
48.9782,-35.4831,1.1343,02:40:05,220.15915,269.13735,-0.013905957428536219,-0.9235407937252994,-0.6584189522433568,2.6666666666666665
50.0433,-34.2708,1.1642,02:40:05,220.15915,270.20245,0.0033994171840179494,-0.9620718541236175,-0.6555668016807698,2.6666666666666665
47.6198,-34.518,1.17657,02:45:05,220.11341,267.73321,-0.03834361347248765,-0.9686741487941923,-0.666721175352725,2.75
48.4689,-34.5823,1.18318,02:45:05,220.11341,268.58231,-0.02410068912830055,-0.9738278144550735,-0.67156046412605,2.75
47.7145,-34.9121,1.17573,02:45:05,220.11341,267.82791,-0.036541724428282275,-0.9634423482010117,-0.6728926935022611,2.75
49.0035,-34.3828,1.18455,02:45:05,220.11341,269.11690999999996,-0.01506681544371498,-0.9774729380167055,-0.6689382251130329,2.75
48.9602,-33.9743,1.20847,02:50:05,220.06767,269.02787,-0.01700287240061068,-1.0020258037022405,-0.6753183930154779,2.8333333333333335
48.3804,-34.6711,1.19502,02:50:05,220.06767,268.44807,-0.026617733872813486,-0.9824610807039562,-0.6798047672276875,2.8333333333333335
50.4024,-33.603,1.20989,02:50:05,220.06767,270.47006999999996,0.008267415149782121,-1.0076741071169908,-0.6695956659004869,2.8333333333333335
47.2305,-35.0938,1.17829,02:50:05,220.06767,267.29816999999997,-0.04544566074196431,-0.9630192274249255,-0.6774186177170112,2.8333333333333335
47.8877,-34.2815,1.24645,02:55:05,220.02193,267.90963,-0.03756698939647177,-1.029231592810904,-0.7020745346240773,2.9166666666666665
48.256,-34.223,1.23451,02:55:05,220.02193,268.27792999999997,-0.030675149099908147,-1.02029959151166,-0.6943073662930834,2.9166666666666665
48.8469,-33.6533,1.24646,02:55:05,220.02193,268.86883,-0.02048286129816615,-1.037358685628221,-0.6907459311097892,2.9166666666666665
47.3834,-34.7407,1.22496,02:55:05,220.02193,267.40533,-0.045568747332400045,-1.005565973470755,-0.6980598569351834,2.9166666666666665
50.0017,-33.1468,1.24677,02:55:05,220.02193,270.02363,0.0004305208430815686,-1.043885988252026,-0.6817164301107128,2.9166666666666665
50.8528,-33.5056,1.27943,03:00:05,219.9762,270.829,0.01543518242264094,-1.0667178467195428,-0.7062690107413762,3.0
46.2735,-34.0514,1.28018,03:00:05,219.9762,266.2497,-0.06937698550455028,-1.0584033392323644,-0.7168193899331144,3.0
49.5358,-34.1063,1.2781,03:00:05,219.9762,269.512,-0.00901335383113854,-1.0582267336679292,-0.7166690656106351,3.0
51.7624,-32.7445,1.27269,03:00:05,219.9762,271.7386,0.032477005501481186,-1.0699552433220143,-0.6883900475031475,3.0
52.5687,-32.3387,1.26611,03:00:05,219.9762,272.5449,0.04749877363543015,-1.0686821985537311,-0.6772715534388655,3.0
50.5652,-33.0257,1.31242,03:05:05,219.93046,270.49566,0.00951904756695025,-1.1003261205532278,-0.7152888036043215,3.0833333333333335
51.714,-31.9029,1.30237,03:05:05,219.93046,271.64446,0.0317288960625146,-1.1051850607314306,-0.688278196364463,3.0833333333333335
49.7827,-34.0452,1.29477,03:05:05,219.93046,269.71316,-0.005370946407383933,-1.0728280233678569,-0.7248727737412313,3.0833333333333335
53.4234,-32.3565,1.34781,03:10:05,219.88473,273.30813,0.06570032419457422,-1.136644373230902,-0.7213285189865002,3.1666666666666665
54.9028,-31.3676,1.35285,03:10:05,219.88473,274.78753,0.09640780991875916,-1.1510944187034278,-0.7041947854936775,3.1666666666666665
53.3898,-32.7846,1.34414,03:10:05,219.88473,273.27452999999997,0.06454784333159712,-1.128189861590219,-0.7278279684968704,3.1666666666666665
54.7599,-31.5721,1.37385,03:15:05,219.83899,274.59889,0.0938498730241906,-1.1667269623478915,-0.7193081531331376,3.25
54.5835,-30.2409,1.38834,03:15:05,219.83899,274.42249,0.09248685351277665,-1.1958372887363549,-0.6992190761091905,3.25
53.5741,-33.0511,1.35489,03:15:05,219.83899,273.41309,0.06761014751868961,-1.133633432515778,-0.7389391184224829,3.25
55.3943,-30.3066,1.4084,03:20:05,219.79325,275.18755,0.10993924100212443,-1.210944090237575,-0.7107167745357983,3.3333333333333335
54.072,-31.2645,1.40592,03:20:05,219.79325,273.86525,0.08101039230549778,-1.1990195076303654,-0.7296578534219621,3.3333333333333335
53.1565,-31.7715,1.41488,03:20:05,219.79325,272.94975,0.06189966272362294,-1.2012731522765436,-0.7449809794714747,3.3333333333333335
55.932,-29.7163,1.41725,03:25:05,219.74752,275.67952,0.12181172334612028,-1.224825876613464,-0.7025389943152675,3.4166666666666665
55.6557,-31.2562,1.43391,03:25:05,219.74752,275.40322000000003,0.11542525251802098,-1.2203396109941054,-0.7440068097940414,3.4166666666666665
55.5567,-32.4032,1.41456,03:25:05,219.74752,275.30422,0.11040672057913896,-1.1891960109978346,-0.7580258551512596,3.4166666666666665
56.9236,-29.0758,1.44943,03:30:05,219.70178,276.62538,0.14615625364891285,-1.258309496865495,-0.7043741083525284,3.5
57.1857,-31.2095,1.45688,03:30:05,219.70178,276.88748,0.1494247483716993,-1.2370459861195928,-0.7549098007043347,3.5
59.5489,-30.034,1.43514,03:35:05,219.65604,279.20493999999997,0.19874879264406606,-1.2264420929204263,-0.7183074061538632,3.5833333333333335
57.6215,-31.6611,1.44313,03:35:05,219.65604,277.27754,0.15560163176802497,-1.2184502682878264,-0.7574901139951941,3.5833333333333335
58.8593,-31.2245,1.48829,03:35:05,219.65604,278.51534,0.1884540747025907,-1.258670361157898,-0.7715187021522142,3.5833333333333335
57.6995,-29.1401,1.49936,03:40:05,219.61031,277.30980999999997,0.1666247480988589,-1.2989450005868484,-0.7301085456090928,3.6666666666666665
57.6969,-29.767,1.49612,03:40:05,219.61031,277.30721,0.16518208751197708,-1.2881617401726546,-0.7427848029682241,3.6666666666666665
57.8744,-28.7629,1.49677,03:40:05,219.61031,277.48471,0.17091576090597108,-1.300916674873079,-0.7202249930480785,3.6666666666666665
