T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
6.4,273,-33,15,3.6,10,0.03,12
6.6,273,-33,15,4.7,10,0.04,15
7.4,273,-33,15,6.0,10,0.06,17
