T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
14.4,163,15,50,8,10,0.12,-7
17.4,162,15,40,10.5,10,0.15,-5
18.4,162,15,40,11.5,10,0.15,-5
20,165,15,50,13,10,0.15,0
